name,gppd_idnr,country,year,co2_emissions_tonne,capacity_mw,primary_fuel,generation_gwh,commissioning_year,latitude,longitude,unit_count
Schluchseewerk AG,WRI1006037,Germany,2016,0.0,180.0,Hydro Pumped Storage,205.91800000000003,,47.565,7.954,1
Schluchseewerk AG,WRI1006037,Germany,2017,0.0,180.0,Hydro Pumped Storage,244.78000000000006,,47.565,7.954,1
Schluchseewerk AG,WRI1006037,Germany,2018,0.0,180.0,Hydro Pumped Storage,249.51500000000007,,47.565,7.954,1
Schluchseewerk AG,WRI1006148,Germany,2015,0.0,258.0,Hydro Pumped Storage,93.66700000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1005729,Germany,2015,0.0,258.0,Hydro Pumped Storage,93.66700000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1005896,Germany,2015,0.0,258.0,Hydro Pumped Storage,93.66700000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1006148,Germany,2016,0.0,258.0,Hydro Pumped Storage,101.61900000000003,,47.688,8.252,1
Schluchseewerk AG,WRI1005729,Germany,2016,0.0,258.0,Hydro Pumped Storage,101.61900000000003,,47.688,8.252,1
Schluchseewerk AG,WRI1005896,Germany,2016,0.0,258.0,Hydro Pumped Storage,101.61900000000003,,47.688,8.252,1
Schluchseewerk AG,WRI1006148,Germany,2017,0.0,258.0,Hydro Pumped Storage,82.27900000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1005729,Germany,2017,0.0,258.0,Hydro Pumped Storage,82.27900000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1005896,Germany,2017,0.0,258.0,Hydro Pumped Storage,82.27900000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1006148,Germany,2018,0.0,258.0,Hydro Pumped Storage,83.56300000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1005729,Germany,2018,0.0,258.0,Hydro Pumped Storage,83.56300000000002,,47.688,8.252,1
Schluchseewerk AG,WRI1005896,Germany,2018,0.0,258.0,Hydro Pumped Storage,83.56300000000002,,47.688,8.252,1
Schluchsee,WRI1006037,Germany,2015,0.0,870.0,Hydro Pumped Storage,585.6960000000001,,47.565,7.954,3
Schluchsee,WRI1005896,Germany,2015,0.0,870.0,Hydro Pumped Storage,585.6960000000001,,47.565,7.954,3
Schluchsee,WRI1005729,Germany,2015,0.0,870.0,Hydro Pumped Storage,585.6960000000001,,47.565,7.954,3
Schluchsee,WRI1006132,Germany,2015,0.0,870.0,Hydro Pumped Storage,585.6960000000001,,47.565,7.954,3
Schluchsee,WRI1006148,Germany,2015,0.0,870.0,Hydro Pumped Storage,585.6960000000001,,47.565,7.954,3
Schluchsee,WRI1006037,Germany,2016,0.0,870.0,Hydro Pumped Storage,765.6200000000002,,47.565,7.954,3
Schluchsee,WRI1005896,Germany,2016,0.0,870.0,Hydro Pumped Storage,765.6200000000002,,47.565,7.954,3
Schluchsee,WRI1005729,Germany,2016,0.0,870.0,Hydro Pumped Storage,765.6200000000002,,47.565,7.954,3
Schluchsee,WRI1006132,Germany,2016,0.0,870.0,Hydro Pumped Storage,765.6200000000002,,47.565,7.954,3
Schluchsee,WRI1006148,Germany,2016,0.0,870.0,Hydro Pumped Storage,765.6200000000002,,47.565,7.954,3
Schluchsee,WRI1006037,Germany,2017,0.0,870.0,Hydro Pumped Storage,746.9570000000002,,47.565,7.954,3
Schluchsee,WRI1005896,Germany,2017,0.0,870.0,Hydro Pumped Storage,746.9570000000002,,47.565,7.954,3
Schluchsee,WRI1005729,Germany,2017,0.0,870.0,Hydro Pumped Storage,746.9570000000002,,47.565,7.954,3
Schluchsee,WRI1006132,Germany,2017,0.0,870.0,Hydro Pumped Storage,746.9570000000002,,47.565,7.954,3
Schluchsee,WRI1006148,Germany,2017,0.0,870.0,Hydro Pumped Storage,746.9570000000002,,47.565,7.954,3
Schluchsee,WRI1006037,Germany,2018,0.0,870.0,Hydro Pumped Storage,770.8120000000002,,47.565,7.954,3
Schluchsee,WRI1005896,Germany,2018,0.0,870.0,Hydro Pumped Storage,770.8120000000002,,47.565,7.954,3
Schluchsee,WRI1005729,Germany,2018,0.0,870.0,Hydro Pumped Storage,770.8120000000002,,47.565,7.954,3
Schluchsee,WRI1006132,Germany,2018,0.0,870.0,Hydro Pumped Storage,770.8120000000002,,47.565,7.954,3
Schluchsee,WRI1006148,Germany,2018,0.0,870.0,Hydro Pumped Storage,770.8120000000002,,47.565,7.954,3
Kraftwerk Walheim,WRI1005897,Germany,2015,21470.7,136.0,Fossil Oil,24.942000000000007,,49.021,9.158,1
